店舗名,最寄り,評価,ランチ,ディナー,URL
ザ バー ナノ フェムト,すすきの駅（市営）,3.73,-,"￥4,000～￥4,999",https://tabelog.com/hokkaido/A0101/A010103/1007364/
Bar 内藤,人形町駅,3.73,-,"￥4,000～￥4,999",https://tabelog.com/tokyo/A1302/A130204/13165260/
バー アルカンシェル,勾当台公園駅,3.72,-,"￥4,000～￥4,999",https://tabelog.com/miyagi/A0401/A040101/4000064/
BAR オーパ 門前仲町店,門前仲町駅,3.72,-,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1313/A131303/13004091/
バー・オーガスタ・ターロギー,大阪梅田駅（阪急）,3.72,-,-,https://tabelog.com/osaka/A2701/A270101/27003573/
バー ニート 名駅店,国際センター駅,3.72,-,"￥3,000～￥3,999",https://tabelog.com/aichi/A2301/A230101/23031142/
ル・バール カワゴエ,勾当台公園駅,3.72,-,"￥4,000～￥4,999",https://tabelog.com/miyagi/A0401/A040101/4000065/
ル・パラン,新宿三丁目駅,3.72,-,"￥2,000～￥2,999",https://tabelog.com/tokyo/A1304/A130401/13000988/
ニッカバー 七島,中洲川端駅,3.72,-,"￥2,000～￥2,999",https://tabelog.com/fukuoka/A4001/A400102/40000185/
Lady,秋田駅,3.71,-,"￥3,000～￥3,999",https://tabelog.com/akita/A0501/A050101/5000051/
bar K家 本館,京都河原町駅,3.71,-,"￥4,000～￥4,999",https://tabelog.com/kyoto/A2601/A260201/26001147/
イーグル,新宿西口駅,3.71,-,"￥6,000～￥7,999",https://tabelog.com/tokyo/A1304/A130401/13000922/
BAR 鶴亀,水天宮前駅,3.71,-,"￥2,000～￥2,999",https://tabelog.com/tokyo/A1302/A130204/13118284/
サヴォイ キタノザカ,三宮駅（神戸市営）,3.71,-,"￥2,000～￥2,999",https://tabelog.com/hyogo/A2801/A280101/28022839/
バー　スリーマティーニ,元町・中華街駅,3.70,"￥10,000～￥14,999","￥10,000～￥14,999",https://tabelog.com/kanagawa/A1401/A140105/14001355/
堂島サンボア,北新地駅,3.70,-,"￥2,000～￥2,999",https://tabelog.com/osaka/A2701/A270101/27002033/
バー クーゲル,祇園四条駅,3.70,-,"￥4,000～￥4,999",https://tabelog.com/kyoto/A2601/A260301/26002072/
BAR Too,都電雑司ケ谷駅,3.70,-,"￥4,000～￥4,999",https://tabelog.com/tokyo/A1305/A130501/13015798/
Kreis,伏見駅,3.70,-,"￥3,000～￥3,999",https://tabelog.com/aichi/A2301/A230102/23048205/
ローズガーデン,本八戸駅,3.69,-,"￥4,000～￥4,999",https://tabelog.com/aomori/A0203/A020301/2006536/
バー オーディン,恵比寿駅,3.69,-,"￥4,000～￥4,999",https://tabelog.com/tokyo/A1303/A130302/13077494/
バー アウル,県庁前駅,3.69,-,"￥4,000～￥4,999",https://tabelog.com/okinawa/A4701/A470101/47002697/
オードヴィー,都庁前駅,3.69,-,"￥5,000～￥5,999",https://tabelog.com/tokyo/A1304/A130401/13012013/
バー スティンガー,甲東中学校前駅,3.69,-,"￥3,000～￥3,999",https://tabelog.com/kagoshima/A4601/A460101/46005461/
ムーンシャイン,秋田駅,3.69,-,"￥3,000～￥3,999",https://tabelog.com/akita/A0501/A050101/5003692/
バー・シャモニー,東武宇都宮駅,3.69,-,"￥2,000～￥2,999",https://tabelog.com/tochigi/A0901/A090101/9000010/
北新地サンボア,北新地駅,3.69,-,"￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270101/27011994/
夢酒OGAWA パイプのけむり,東武宇都宮駅,3.68,-,"￥2,000～￥2,999",https://tabelog.com/tochigi/A0901/A090101/9000022/
BAR YUMOTO,三島広小路駅,3.68,-,"￥4,000～￥4,999",https://tabelog.com/shizuoka/A2205/A220501/22003105/
バー カプリ,永田町駅,3.68,"￥3,000～￥3,999","￥5,000～￥5,999",https://tabelog.com/tokyo/A1308/A130803/13019043/
バー ラリティー,心斎橋駅,3.68,-,"￥5,000～￥5,999",https://tabelog.com/osaka/A2701/A270201/27001678/
カサブランカ片野酒類販売,日本大通り駅,3.68,-,"￥4,000～￥4,999",https://tabelog.com/kanagawa/A1401/A140104/14036644/
The bar 佐藤,盛岡駅,3.68,-,"￥3,000～￥3,999",https://tabelog.com/iwate/A0301/A030101/3001224/
蓮,大江橋駅,3.67,-,"￥6,000～￥7,999",https://tabelog.com/osaka/A2701/A270101/27001912/
ベンフィディック,新宿駅,3.67,-,"￥6,000～￥7,999",https://tabelog.com/tokyo/A1304/A130401/13159249/
バー ケー,北新地駅,3.67,-,"￥3,000～￥3,999",https://tabelog.com/osaka/A2701/A270101/27002057/
ザ バー ワタナベ,郡山駅,3.67,-,"￥4,000～￥4,999",https://tabelog.com/fukushima/A0702/A070201/7010160/
バー・ラ・ユロット,麻布十番駅,3.67,-,"￥5,000～￥5,999",https://tabelog.com/tokyo/A1307/A130702/13030834/
カルーソー,新宿三丁目駅,3.66,-,"￥5,000～￥5,999",https://tabelog.com/tokyo/A1304/A130401/13111408/
ザ・バー１９８０,秋田駅,3.66,-,"￥2,000～￥2,999",https://tabelog.com/akita/A0501/A050101/5002632/
バー マスダ,大阪難波駅,3.66,-,"￥4,000～￥4,999",https://tabelog.com/osaka/A2701/A270202/27064091/
北サンボア,東梅田駅,3.66,-,"￥2,000～￥2,999",https://tabelog.com/osaka/A2701/A270101/27001894/
ロイヤル バー,大手町駅,3.66,"￥3,000～￥3,999","￥5,000～￥5,999",https://tabelog.com/tokyo/A1302/A130201/13141138/
オーク,宮崎駅,3.66,-,"￥2,000～￥2,999",https://tabelog.com/miyazaki/A4501/A450101/45005978/
野毛ハイボール,桜木町駅,3.65,-,"￥2,000～￥2,999",https://tabelog.com/kanagawa/A1401/A140102/14043842/
BAR五,恵比寿駅,3.65,-,"￥4,000～￥4,999",https://tabelog.com/tokyo/A1303/A130302/13093230/
ポケット,湯沢駅,3.50,-,"￥2,000～￥2,999",https://tabelog.com/akita/A0505/A050502/5003703/
